,Fecha,Brent,Oro,DJ,SP500,TRM
173,2022-09-12,94.0,1728.0999755859375,32381.33984375,4110.41015625,4351.25
174,2022-09-13,93.16999816894533,1705.0,31104.970703125,3932.68994140625,4359.5
175,2022-09-14,94.0999984741211,1696.5,31135.08984375,3946.010009765625,4410.75
176,2022-09-15,90.83999633789062,1665.4000244140625,30961.8203125,3901.35009765625,4390.75
177,2022-09-16,91.3499984741211,1671.699951171875,30822.419921875,3873.330078125,4416.33984375
178,2022-09-19,92.0,1666.199951171875,31019.6796875,3899.889892578125,4433.4501953125
179,2022-09-20,90.62000274658205,1659.699951171875,30706.23046875,3855.929931640625,4405.25
180,2022-09-21,89.83000183105469,1664.5999755859375,30183.779296875,3789.929931640625,4424.5
181,2022-09-22,90.45999908447266,1670.800048828125,30076.6796875,3757.989990234375,4406.25
182,2022-09-23,86.1500015258789,1645.300048828125,29590.41015625,3693.22998046875,4363.35009765625
183,2022-09-26,84.05999755859375,1623.300048828125,29260.810546875,3655.0400390625,4436.759765625
184,2022-09-27,86.2699966430664,1626.699951171875,29134.990234375,3647.2900390625,4539.85986328125
185,2022-09-28,89.31999969482422,1660.4000244140625,29683.740234375,3719.0400390625,4552.259765625
186,2022-09-29,88.48999786376953,1658.5,29225.609375,3640.469970703125,4488.259765625
187,2022-09-30,87.95999908447266,1662.4000244140625,28725.509765625,3585.6201171875,4526.9501953125
188,2022-10-03,88.86000061035156,1692.9000244140625,29490.890625,3678.429931640625,4608.259765625
189,2022-10-04,91.8000030517578,1721.0999755859375,30316.3203125,3790.929931640625,4528.27001953125
190,2022-10-05,93.37000274658205,1711.4000244140625,30273.869140625,3783.280029296875,4494.759765625
191,2022-10-06,94.41999816894533,1711.699951171875,29926.939453125,3744.52001953125,4462.15283203125
192,2022-10-07,97.91999816894533,1700.5,29296.7890625,3639.659912109375,4611.759765625
193,2022-10-10,96.19000244140624,1667.300048828125,29202.880859375,3612.389892578125,4618.259765625
194,2022-10-11,94.29000091552734,1678.699951171875,29239.189453125,3588.840087890625,4604.27978515625
195,2022-10-12,92.4499969482422,1670.300048828125,29210.849609375,3577.030029296875,4605.509765625
196,2022-10-13,94.56999969482422,1670.0,30038.720703125,3669.909912109375,4606.16015625
197,2022-10-14,91.62999725341795,1641.699951171875,29634.830078125,3583.070068359375,4573.9599609375
198,2022-10-17,91.62000274658205,1657.0,30185.8203125,3677.949951171875,4696.259765625
199,2022-10-18,90.02999877929688,1649.0,30523.80078125,3719.97998046875,4733.259765625
